filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label,genre,subgenre,dataset,extraction_date
4 Non Blondes - What's Up (Official Music Video).flac,292.50181405895694,0.36972155297795933,0.008046056302378994,0.14638805389404297,0.0,2243.935958050164,0.0,0.0,0.0,4906.6491945336065,0.0,0.0879372903933164,0.0,0.0,0.0,0.0,0.0,135.99917763157896,-104.84762573242188,0.0,84.58755493164062,0.0,2.6298606395721436,0.0,39.471317291259766,0.0,10.237244606018066,0.0,12.723746299743652,0.0,3.956618309020996,0.0,10.339593887329102,0.0,-2.6032450199127197,0.0,2.4077041149139404,0.0,-4.223421573638916,0.0,2.1883955001831055,0.0,-0.2378663420677185,0.0,88.07962036132812,0.0,23.640926361083984,0.0,20.81817054748535,0.0,13.23342227935791,0.0,10.081114768981934,0.0,10.07882308959961,0.0,8.7570161819458,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:22.359065
Everclear - Santa Monica (Official Music Video).flac,192.12802721088434,0.4072774549325307,0.008486709041413479,0.2878144383430481,0.0,2372.643869924548,0.0,0.0,0.0,5048.2285274263595,0.0,0.11321994193731118,0.0,0.0,0.0,0.0,0.0,135.99917763157896,1.7543957233428955,0.0,97.38372802734375,0.0,-10.144973754882812,0.0,14.036806106567383,0.0,-1.8313183784484863,0.0,7.183774948120117,0.0,-8.547554016113281,0.0,4.896598815917969,0.0,-2.457636833190918,0.0,5.280911445617676,0.0,-1.717621088027954,0.0,-0.5174587965011597,0.0,-1.7471879720687866,0.0,93.76126098632812,0.0,40.25648498535156,0.0,18.605388641357422,0.0,20.09429359436035,0.0,11.173273086547852,0.0,11.240937232971191,0.0,10.003108024597168,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:25.601855
Edwyn Collins - A Girl Like You (Official Video).flac,235.52,0.4344939962029457,0.013402721008508459,0.17546291649341583,0.0,2301.060243564035,0.0,0.0,0.0,4820.386043031133,0.0,0.10602764526752267,0.0,0.0,0.0,0.0,0.0,129.19921875,-53.674949645996094,0.0,92.86882781982422,0.0,-10.487255096435547,0.0,33.99645233154297,0.0,5.844368934631348,0.0,12.091287612915039,0.0,-7.051765441894531,0.0,8.84111499786377,0.0,-0.5565775036811829,0.0,1.0637614727020264,0.0,-3.6788673400878906,0.0,3.3067822456359863,0.0,-1.8565845489501953,0.0,75.03543853759766,0.0,32.6168212890625,0.0,15.626829147338867,0.0,13.064275741577148,0.0,12.398759841918945,0.0,8.145605087280273,0.0,8.252337455749512,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:27.838906
Every Morning - Sugar Ray.flac,252.9930612244898,0.4240573396285375,0.004433176576464816,0.1972668617963791,0.0,2247.384987079823,0.0,0.0,0.0,4755.202581598895,0.0,0.10033099696849761,0.0,0.0,0.0,0.0,0.0,112.34714673913044,-88.24851989746094,0.0,85.1842041015625,0.0,-5.012810707092285,0.0,27.482181549072266,0.0,8.537463188171387,0.0,16.71443748474121,0.0,-1.3536152839660645,0.0,6.126970291137695,0.0,-6.451570510864258,0.0,2.9275002479553223,0.0,-2.58304500579834,0.0,3.9519312381744385,0.0,-0.643108069896698,0.0,138.00137329101562,0.0,37.86063766479492,0.0,21.2331600189209,0.0,15.777463912963867,0.0,14.178304672241211,0.0,12.298404693603516,0.0,9.81531810760498,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:29.222251
Hole - Celebrity Skin (Video).flac,163.71233560090704,0.4872148185968399,0.0017374863297407266,0.2266910970211029,0.0,2840.045176300039,0.0,0.0,0.0,5923.910612053033,0.0,0.13331560073482485,0.0,0.0,0.0,0.0,0.0,135.99917763157896,-13.698123931884766,0.0,63.027774810791016,0.0,-7.932199478149414,0.0,30.64046859741211,0.0,10.423407554626465,0.0,9.609745025634766,0.0,8.024358749389648,0.0,10.53357982635498,0.0,5.95466423034668,0.0,9.499377250671387,0.0,1.0141417980194092,0.0,2.5326058864593506,0.0,-1.9863923788070679,0.0,95.45491790771484,0.0,19.1442813873291,0.0,18.239442825317383,0.0,12.348712921142578,0.0,11.062872886657715,0.0,8.699491500854492,0.0,8.024639129638672,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:30.416956
Green Day - When I Come Around [Official Music Video] (4K Upgrade).flac,179.76893424036282,0.39416244874397915,0.002583627491089529,0.19089804589748383,0.0,2693.766812338431,0.0,0.0,0.0,5708.367884450068,0.0,0.11498843713676869,0.0,0.0,0.0,0.0,0.0,99.38401442307692,-51.3327751159668,0.0,67.71753692626953,0.0,0.9888315200805664,0.0,36.58228302001953,0.0,8.876917839050293,0.0,14.066902160644531,0.0,-2.8126981258392334,0.0,4.438899993896484,0.0,0.9826753735542297,0.0,3.5990171432495117,0.0,-4.733297348022461,0.0,1.861868143081665,0.0,-6.510044574737549,0.0,101.55362701416016,0.0,27.38742446899414,0.0,19.706912994384766,0.0,14.565713882446289,0.0,11.168044090270996,0.0,9.266350746154785,0.0,7.981382846832275,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:30.775346
Foo Fighters - My Hero (Official HD Video).flac,242.70662131519273,0.4606461351116498,0.004999028896391619,0.28646618127822876,0.0,2454.986097917861,0.0,0.0,0.0,4948.868974703733,0.0,0.1259636232570793,0.0,0.0,0.0,0.0,0.0,151.99908088235293,13.423418998718262,0.0,85.4625244140625,0.0,-21.62698745727539,0.0,47.22510528564453,0.0,4.277887344360352,0.0,11.376180648803711,0.0,1.0433372259140015,0.0,6.677055835723877,0.0,2.1768434047698975,0.0,3.443399429321289,0.0,0.4066239893436432,0.0,5.43473482131958,0.0,-3.6258609294891357,0.0,63.84663772583008,0.0,25.530162811279297,0.0,21.47972297668457,0.0,15.374614715576172,0.0,8.000049591064453,0.0,7.39363956451416,0.0,6.831949234008789,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:32.985667
Gin Blossoms - Hey Jealousy (Official Music Video).flac,232.5362811791383,0.43466120958328247,0.00888727714117099,0.2680268883705139,0.0,2876.331204831832,0.0,0.0,0.0,5945.384035762762,0.0,0.13695906335808786,0.0,0.0,0.0,0.0,0.0,151.99908088235293,4.305467128753662,0.0,66.3200454711914,0.0,-4.145050048828125,0.0,41.138206481933594,0.0,6.006719589233398,0.0,4.756256580352783,0.0,2.894667863845825,0.0,9.13880729675293,0.0,-1.9523040056228638,0.0,6.144530296325684,0.0,-0.18526218831539154,0.0,5.223995208740234,0.0,-3.803866147994995,0.0,65.01538848876953,0.0,21.96644401550293,0.0,19.39351463317871,0.0,14.040111541748047,0.0,9.739087104797363,0.0,9.968304634094238,0.0,8.255342483520508,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:33.385425
Foo Fighters - Learn To Fly (Official HD Video).flac,276.4568253968254,0.456172376871109,0.0031118056586147227,0.24448014795780182,0.0,2693.5126489520508,0.0,0.0,0.0,5816.214554398148,0.0,0.12524584245349374,0.0,0.0,0.0,0.0,0.0,135.99917763157896,-2.198935031890869,0.0,78.35417175292969,0.0,-6.335644721984863,0.0,25.925291061401367,0.0,7.445481300354004,0.0,10.438692092895508,0.0,0.9967560172080994,0.0,7.828871726989746,0.0,-1.1071683168411255,0.0,6.550369739532471,0.0,-0.7481711506843567,0.0,3.87345814704895,0.0,-3.488175630569458,0.0,59.14977264404297,0.0,19.06103515625,0.0,16.975017547607422,0.0,16.29775047302246,0.0,9.473237991333008,0.0,8.735107421875,0.0,7.2845845222473145,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:33.476165
Foo Fighters - Monkey Wrench (Official HD Video).flac,272.1920181405896,0.5162419701615969,0.0012072534289066272,0.2016008198261261,0.0,2492.1459746775763,0.0,0.0,0.0,4948.703139078228,0.0,0.1244749404216071,0.0,0.0,0.0,0.0,0.0,86.1328125,-33.9725227355957,0.0,81.39825439453125,0.0,-12.974573135375977,0.0,30.709636688232422,0.0,8.287524223327637,0.0,6.499063491821289,0.0,3.5911879539489746,0.0,8.819559097290039,0.0,2.872720241546631,0.0,5.74640417098999,0.0,0.5470661520957947,0.0,5.3276686668396,0.0,-0.7643269896507263,0.0,121.23360443115234,0.0,31.896547317504883,0.0,21.16364860534668,0.0,11.516462326049805,0.0,8.545987129211426,0.0,7.14318323135376,0.0,7.399709701538086,0.0,Alternative Rock,Alternative,Alternative Rock,personal,2025-09-24 20:39:33.964326
